Adams, Thomas Edmund Dewey, Republican, 51.96
Asotin, Harry S. Truman , Democratic, 57.33
Benton, Harry S. Truman , Democratic, 58.46
Chelan, Harry S. Truman , Democratic, 50.17
Clallam, Harry S. Truman , Democratic, 53.6
Clark, Harry S. Truman , Democratic, 56.93
Columbia, Thomas Edmund Dewey, Republican, 50.28
Cowlitz, Harry S. Truman , Democratic, 58.59
Douglas, Harry S. Truman , Democratic, 55.81
Ferry, Harry S. Truman , Democratic, 61.49
Franklin, Harry S. Truman , Democratic, 61.14
Garfield, Thomas Edmund Dewey, Republican, 48.92
Grant, Harry S. Truman , Democratic, 64.79
Grays Harbor, Harry S. Truman , Democratic, 58.84
Island, Thomas Edmund Dewey, Republican, 49.05
Jefferson, Harry S. Truman , Democratic, 51.99
King, Harry S. Truman , Democratic, 49.14
Kitsap, Harry S. Truman , Democratic, 63.69
Kittitas, Harry S. Truman , Democratic, 54.96
Klickitat, Harry S. Truman , Democratic, 51.88
Lewis, Thomas Edmund Dewey, Republican, 50.39
Lincoln, Harry S. Truman , Democratic, 51.14
Mason, Harry S. Truman , Democratic, 55.58
Okanogan, Harry S. Truman , Democratic, 56.81
Pacific, Harry S. Truman , Democratic, 55.33
Pend Oreille, Harry S. Truman , Democratic, 57.07
Pierce, Harry S. Truman , Democratic, 55.82
San Juan, Thomas Edmund Dewey, Republican, 55.94
Skagit, Harry S. Truman , Democratic, 49.91
Skamania, Harry S. Truman , Democratic, 57.93
Snohomish, Harry S. Truman , Democratic, 56.04
Spokane, Harry S. Truman , Democratic, 55.79
Stevens, Harry S. Truman , Democratic, 56.56
Thurston, Harry S. Truman , Democratic, 50.28
Wahkiakum, Harry S. Truman , Democratic, 54.92
Walla Walla, Thomas Edmund Dewey, Republican, 51.98
Whatcom, Thomas Edmund Dewey, Republican, 46.81
Whitman, Thomas Edmund Dewey, Republican, 50.32
Yakima, Thomas Edmund Dewey, Republican, 51
