Adams, Harry S. Truman, Democratic, 50.81
Alexander, Harry S. Truman, Democratic, 49.91
Bond, Thomas Edmund Dewey, Republican, 53.03
Boone, Thomas Edmund Dewey, Republican, 71.43
Brown, Harry S. Truman, Democratic, 53.26
Bureau, Thomas Edmund Dewey, Republican, 63.15
Calhoun, Thomas Edmund Dewey, Republican, 52.21
Carroll, Thomas Edmund Dewey, Republican, 64.94
Cass, Harry S. Truman, Democratic, 52.32
Champaign, Thomas Edmund Dewey, Republican, 60.88
Christian, Harry S. Truman, Democratic, 54.89
Clark, Thomas Edmund Dewey, Republican, 53.92
Clay, Thomas Edmund Dewey, Republican, 53.21
Clinton, Thomas Edmund Dewey, Republican, 51.47
Coles, Thomas Edmund Dewey, Republican, 50.56
Cook, Harry S. Truman, Democratic, 54.17
Crawford, Thomas Edmund Dewey, Republican, 54.58
Cumberland, Thomas Edmund Dewey, Republican, 50.72
DeKalb, Thomas Edmund Dewey, Republican, 68.69
DeWitt, Thomas Edmund Dewey, Republican, 55.61
Douglas, Thomas Edmund Dewey, Republican, 58.65
DuPage, Thomas Edmund Dewey, Republican, 73.58
Edgar, Thomas Edmund Dewey, Republican, 54.77
Edwards, Thomas Edmund Dewey, Republican, 66.07
Effingham, Harry S. Truman, Democratic, 50.11
Fayette, Harry S. Truman, Democratic, 49.72
Ford, Thomas Edmund Dewey, Republican, 69.89
Franklin, Harry S. Truman, Democratic, 54.79
Fulton, Thomas Edmund Dewey, Republican, 53
Gallatin, Harry S. Truman, Democratic, 56.79
Greene, Harry S. Truman, Democratic, 52.22
Grundy, Thomas Edmund Dewey, Republican, 64.44
Hamilton, Thomas Edmund Dewey, Republican, 50.93
Hancock, Thomas Edmund Dewey, Republican, 55.54
Hardin, Thomas Edmund Dewey, Republican, 55.49
Henderson, Thomas Edmund Dewey, Republican, 60.87
Henry, Thomas Edmund Dewey, Republican, 58.84
Iroquois, Thomas Edmund Dewey, Republican, 64.65
Jackson, Thomas Edmund Dewey, Republican, 53.79
Jasper, Thomas Edmund Dewey, Republican, 49.76
Jefferson, Harry S. Truman, Democratic, 54.7
Jersey, Harry S. Truman, Democratic, 50.37
Jo Daviess, Thomas Edmund Dewey, Republican, 61.83
Johnson, Thomas Edmund Dewey, Republican, 64.47
Kane, Thomas Edmund Dewey, Republican, 64.41
Kankakee, Thomas Edmund Dewey, Republican, 57.71
Kendall, Thomas Edmund Dewey, Republican, 71.77
Knox, Thomas Edmund Dewey, Republican, 60.18
Lake, Thomas Edmund Dewey, Republican, 63.26
LaSalle, Thomas Edmund Dewey, Republican, 55.02
Lawrence, Thomas Edmund Dewey, Republican, 49.38
Lee, Thomas Edmund Dewey, Republican, 66.97
Livingston, Thomas Edmund Dewey, Republican, 66.27
Logan, Thomas Edmund Dewey, Republican, 60.36
Macon, Harry S. Truman, Democratic, 53.11
Macoupin, Harry S. Truman, Democratic, 52.66
Madison, Harry S. Truman, Democratic, 61.68
Marion, Harry S. Truman, Democratic, 52.58
Marshall, Thomas Edmund Dewey, Republican, 59.91
Mason, Thomas Edmund Dewey, Republican, 49.83
Massac, Thomas Edmund Dewey, Republican, 62.46
McDonough, Thomas Edmund Dewey, Republican, 65.13
McHenry, Thomas Edmund Dewey, Republican, 73.45
McLean, Thomas Edmund Dewey, Republican, 58.48
Menard, Thomas Edmund Dewey, Republican, 58.35
Mercer, Thomas Edmund Dewey, Republican, 62.55
Monroe, Thomas Edmund Dewey, Republican, 62.65
Montgomery, Thomas Edmund Dewey, Republican, 50.73
Morgan, Thomas Edmund Dewey, Republican, 55.05
Moultrie, Thomas Edmund Dewey, Republican, 49.39
Ogle, Thomas Edmund Dewey, Republican, 71.15
Peoria, Thomas Edmund Dewey, Republican, 52.78
Perry, Thomas Edmund Dewey, Republican, 49.96
Piatt, Thomas Edmund Dewey, Republican, 60.13
Pike, Harry S. Truman, Democratic, 54.07
Pope, Thomas Edmund Dewey, Republican, 65.43
Pulaski, Thomas Edmund Dewey, Republican, 52.81
Putnam, Thomas Edmund Dewey, Republican, 60.15
Randolph, Thomas Edmund Dewey, Republican, 49.83
Richland, Thomas Edmund Dewey, Republican, 60.56
Rock Island, Harry S. Truman, Democratic, 51.98
Saline, Harry S. Truman, Democratic, 49.84
Sangamon, Thomas Edmund Dewey, Republican, 53.28
Schuyler, Thomas Edmund Dewey, Republican, 49.65
Scott, Thomas Edmund Dewey, Republican, 51.28
Shelby, Harry S. Truman, Democratic, 50.68
St. Clair, Harry S. Truman, Democratic, 63.38
Stark, Thomas Edmund Dewey, Republican, 68.44
Stephenson, Thomas Edmund Dewey, Republican, 58.29
Tazewell, Harry S. Truman, Democratic, 52.77
Union, Harry S. Truman, Democratic, 53.33
Vermilion, Thomas Edmund Dewey, Republican, 53.29
Wabash, Thomas Edmund Dewey, Republican, 49.44
Warren, Thomas Edmund Dewey, Republican, 66.2
Washington, Thomas Edmund Dewey, Republican, 61.99
Wayne, Thomas Edmund Dewey, Republican, 54.69
White, Harry S. Truman, Democratic, 50.99
Whiteside, Thomas Edmund Dewey, Republican, 70.32
Will, Thomas Edmund Dewey, Republican, 51.41
Williamson, Thomas Edmund Dewey, Republican, 51.02
Winnebago, Thomas Edmund Dewey, Republican, 51.54
Woodford, Thomas Edmund Dewey, Republican, 62.35
