Belknap, Republican, Harry S. Truman, 64.79
Carroll, Republican, Harry S. Truman, 76.11
Cheshire, Republican, Harry S. Truman, 58.32
Coös, Democratic, Henry A. Wallace, 52.29
Grafton, Republican, Harry S. Truman, 63.52
Hillsborough, Democratic, Henry A. Wallace, 59.07
Merrimack, Republican, Harry S. Truman, 59.37
Rockingham, Republican, Harry S. Truman, 60.68
Strafford, Democratic, Henry A. Wallace, 53.29
Sullivan, Republican, Harry S. Truman, 55.5
