Adams, Thomas Edmund Dewey, Republican, 54.45
Antelope, Thomas Edmund Dewey, Republican, 60.49
Arthur, Thomas Edmund Dewey, Republican, 57.51
Banner, Thomas Edmund Dewey, Republican, 57.43
Blaine, Thomas Edmund Dewey, Republican, 50.4
Boone, Thomas Edmund Dewey, Republican, 55.69
Box Butte, Thomas Edmund Dewey, Republican, 53.75
Boyd, Thomas Edmund Dewey, Republican, 50.6
Brown, Thomas Edmund Dewey, Republican, 62.65
Buffalo, Thomas Edmund Dewey, Republican, 56.68
Burt, Thomas Edmund Dewey, Republican, 58.3
Butler, Harry S. Truman, Democratic, 55.31
Cass, Thomas Edmund Dewey, Republican, 53.7
Cedar, Thomas Edmund Dewey, Republican, 50.37
Chase, Thomas Edmund Dewey, Republican, 59.78
Cherry, Thomas Edmund Dewey, Republican, 58.93
Cheyenne, Thomas Edmund Dewey, Republican, 50.26
Clay, Thomas Edmund Dewey, Republican, 61.24
Colfax, Thomas Edmund Dewey, Republican, 50.41
Cuming, Thomas Edmund Dewey, Republican, 63.88
Custer, Thomas Edmund Dewey, Republican, 54.73
Dakota, Harry S. Truman, Democratic, 63.24
Dawes, Thomas Edmund Dewey, Republican, 61.54
Dawson, Thomas Edmund Dewey, Republican, 61.75
Deuel, Thomas Edmund Dewey, Republican, 71.68
Dixon, Thomas Edmund Dewey, Republican, 52.44
Dodge, Thomas Edmund Dewey, Republican, 54.56
Douglas, Harry S. Truman, Democratic, 51.08
Dundy, Thomas Edmund Dewey, Republican, 59.14
Fillmore, Thomas Edmund Dewey, Republican, 58.54
Franklin, Thomas Edmund Dewey, Republican, 53.71
Frontier, Thomas Edmund Dewey, Republican, 60.71
Furnas, Thomas Edmund Dewey, Republican, 60.18
Gage, Thomas Edmund Dewey, Republican, 56.29
Garden, Thomas Edmund Dewey, Republican, 64.01
Garfield, Thomas Edmund Dewey, Republican, 56.43
Gosper, Thomas Edmund Dewey, Republican, 52.05
Grant, Thomas Edmund Dewey, Republican, 66.26
Greeley, Harry S. Truman, Democratic, 60.41
Hall, Thomas Edmund Dewey, Republican, 55.37
Hamilton, Thomas Edmund Dewey, Republican, 61.46
Harlan, Thomas Edmund Dewey, Republican, 54.98
Hayes, Thomas Edmund Dewey, Republican, 55.86
Hitchcock, Thomas Edmund Dewey, Republican, 56.69
Holt, Thomas Edmund Dewey, Republican, 54.55
Hooker, Thomas Edmund Dewey, Republican, 74.33
Howard, Harry S. Truman, Democratic, 62.56
Jefferson, Thomas Edmund Dewey, Republican, 60.29
Johnson, Thomas Edmund Dewey, Republican, 58.46
Kearney, Thomas Edmund Dewey, Republican, 50.7
Keith, Thomas Edmund Dewey, Republican, 59.06
Keya Paha, Thomas Edmund Dewey, Republican, 57.54
Kimball, Thomas Edmund Dewey, Republican, 60.38
Knox, Thomas Edmund Dewey, Republican, 51.68
Lancaster, Thomas Edmund Dewey, Republican, 56.29
Lincoln, Thomas Edmund Dewey, Republican, 51.68
Logan, Thomas Edmund Dewey, Republican, 52.16
Loup, Thomas Edmund Dewey, Republican, 52.78
Madison, Thomas Edmund Dewey, Republican, 62.41
McPherson, Thomas Edmund Dewey, Republican, 68.08
Merrick, Thomas Edmund Dewey, Republican, 62.08
Morrill, Thomas Edmund Dewey, Republican, 52.82
Nance, Thomas Edmund Dewey, Republican, 56.79
Nemaha, Thomas Edmund Dewey, Republican, 58.85
Nuckolls, Thomas Edmund Dewey, Republican, 52.71
Otoe, Thomas Edmund Dewey, Republican, 61.75
Pawnee, Thomas Edmund Dewey, Republican, 57.58
Perkins, Thomas Edmund Dewey, Republican, 51.16
Phelps, Thomas Edmund Dewey, Republican, 57.83
Pierce, Thomas Edmund Dewey, Republican, 57.43
Platte, Thomas Edmund Dewey, Republican, 53.47
Polk, Thomas Edmund Dewey, Republican, 59.21
Red Willow, Thomas Edmund Dewey, Republican, 53.84
Richardson, Thomas Edmund Dewey, Republican, 51.77
Rock, Thomas Edmund Dewey, Republican, 64
Saline, Harry S. Truman, Democratic, 57.67
Sarpy, Harry S. Truman, Democratic, 52.68
Saunders, Harry S. Truman, Democratic, 52.09
Scotts Bluff, Thomas Edmund Dewey, Republican, 55.22
Seward, Thomas Edmund Dewey, Republican, 56.18
Sheridan, Thomas Edmund Dewey, Republican, 54.62
Sherman, Harry S. Truman, Democratic, 61.59
Sioux, Thomas Edmund Dewey, Republican, 55.82
Stanton, Thomas Edmund Dewey, Republican, 56.01
Thayer, Thomas Edmund Dewey, Republican, 57.39
Thomas, Thomas Edmund Dewey, Republican, 56.73
Thurston, Harry S. Truman, Democratic, 62.19
Valley, Thomas Edmund Dewey, Republican, 54.66
Washington, Thomas Edmund Dewey, Republican, 55.74
Wayne, Thomas Edmund Dewey, Republican, 66.73
Webster, Thomas Edmund Dewey, Republican, 59
Wheeler, Harry S. Truman, Democratic, 55.33
York, Thomas Edmund Dewey, Republican, 65.44
