Ada, Thomas Edmund Dewey, Republican, 56.06
Adams, Harry S. Truman , Democratic, 50.78
Bannock, Harry S. Truman , Democratic, 62.2
Bear Lake, Harry S. Truman , Democratic, 50.73
Benewah, Harry S. Truman , Democratic, 58.22
Bingham, Harry S. Truman , Democratic, 49.58
Blaine, Harry S. Truman , Democratic, 54.67
Boise, Harry S. Truman , Democratic, 50.96
Bonner, Harry S. Truman , Democratic, 49.7
Bonneville, Harry S. Truman , Democratic, 53.81
Boundary, Harry S. Truman , Democratic, 49.02
Butte, Harry S. Truman , Democratic, 50.35
Camas, Thomas Edmund Dewey, Republican, 50.26
Canyon, Thomas Edmund Dewey, Republican, 52.82
Caribou, Harry S. Truman , Democratic, 51.08
Cassia, Thomas Edmund Dewey, Republican, 51.89
Clark, Thomas Edmund Dewey, Republican, 60.65
Clearwater, Harry S. Truman , Democratic, 61.63
Custer, Harry S. Truman , Democratic, 49.72
Elmore, Harry S. Truman , Democratic, 63.48
Franklin, Thomas Edmund Dewey, Republican, 53.19
Fremont, Harry S. Truman , Democratic, 52.85
Gem, Harry S. Truman , Democratic, 50.32
Gooding, Thomas Edmund Dewey, Republican, 52.58
Idaho, Harry S. Truman , Democratic, 54.53
Jefferson, Harry S. Truman , Democratic, 56.53
Jerome, Thomas Edmund Dewey, Republican, 49.43
Kootenai, Harry S. Truman , Democratic, 51.49
Latah, Harry S. Truman , Democratic, 48.3
Lemhi, Thomas Edmund Dewey, Republican, 53.51
Lewis, Harry S. Truman , Democratic, 69.43
Lincoln, Thomas Edmund Dewey, Republican, 52.63
Madison, Harry S. Truman , Democratic, 55.5
Minidoka, Harry S. Truman , Democratic, 48.6
Nez Perce, Harry S. Truman , Democratic, 61.65
Oneida, Harry S. Truman , Democratic, 50.86
Owyhee, Thomas Edmund Dewey, Republican, 50.03
Payette, Thomas Edmund Dewey, Republican, 59.54
Power, Thomas Edmund Dewey, Republican, 52.05
Shoshone, Harry S. Truman , Democratic, 54.13
Teton, Harry S. Truman , Democratic, 52.83
Twin Falls, Thomas Edmund Dewey, Republican, 55.71
Valley, Thomas Edmund Dewey, Republican, 51
Washington, Thomas Edmund Dewey, Republican, 49.21
