Adams, James Strom Thurmond, Dixiecrat, 92.36
Alcorn, James Strom Thurmond, Dixiecrat, 64.19
Amite, James Strom Thurmond, Dixiecrat, 95.59
Attala, James Strom Thurmond, Dixiecrat, 93.19
Benton, James Strom Thurmond, Dixiecrat, 83.83
Bolivar, James Strom Thurmond, Dixiecrat, 88.5
Calhoun, James Strom Thurmond, Dixiecrat, 56.59
Carroll, James Strom Thurmond, Dixiecrat, 92.82
Chickasaw, James Strom Thurmond, Dixiecrat, 93.45
Choctaw, James Strom Thurmond, Dixiecrat, 86.31
Claiborne, James Strom Thurmond, Dixiecrat, 95.61
Clarke, James Strom Thurmond, Dixiecrat, 91.44
Clay, James Strom Thurmond, Dixiecrat, 95.14
Coahoma, James Strom Thurmond, Dixiecrat, 84.48
Copiah, James Strom Thurmond, Dixiecrat, 95.9
Covington, James Strom Thurmond, Dixiecrat, 90.81
DeSoto, James Strom Thurmond, Dixiecrat, 89.59
Forrest, James Strom Thurmond, Dixiecrat, 90.07
Franklin, James Strom Thurmond, Dixiecrat, 94.54
George, James Strom Thurmond, Dixiecrat, 88.51
Greene, James Strom Thurmond, Dixiecrat, 86.94
Grenada, James Strom Thurmond, Dixiecrat, 91.17
Hancock, James Strom Thurmond, Dixiecrat, 78.87
Harrison, James Strom Thurmond, Dixiecrat, 84.81
Hinds, James Strom Thurmond, Dixiecrat, 89.84
Holmes, James Strom Thurmond, Dixiecrat, 96.18
Humphreys, James Strom Thurmond, Dixiecrat, 97.55
Issaquena, James Strom Thurmond, Dixiecrat, 92.89
Itawamba, James Strom Thurmond, Dixiecrat, 60.52
Jackson, James Strom Thurmond, Dixiecrat, 71.94
Jasper, James Strom Thurmond, Dixiecrat, 92.43
Jefferson, James Strom Thurmond, Dixiecrat, 97.09
Jefferson Davis, James Strom Thurmond, Dixiecrat, 94.04
Jones, James Strom Thurmond, Dixiecrat, 87.45
Kemper, James Strom Thurmond, Dixiecrat, 91.56
Lafayette, James Strom Thurmond, Dixiecrat, 59.8
Lamar, James Strom Thurmond, Dixiecrat, 91.35
Lauderdale, James Strom Thurmond, Dixiecrat, 87.55
Lawrence, James Strom Thurmond, Dixiecrat, 94.03
Leake, James Strom Thurmond, Dixiecrat, 92.38
Lee, James Strom Thurmond, Dixiecrat, 81.31
Leflore, James Strom Thurmond, Dixiecrat, 92.47
Lincoln, James Strom Thurmond, Dixiecrat, 97.01
Lowndes, James Strom Thurmond, Dixiecrat, 93.8
Madison, James Strom Thurmond, Dixiecrat, 93.18
Marion, James Strom Thurmond, Dixiecrat, 90.75
Marshall, James Strom Thurmond, Dixiecrat, 86.97
Monroe, James Strom Thurmond, Dixiecrat, 77.09
Montgomery, James Strom Thurmond, Dixiecrat, 91.77
Neshoba, James Strom Thurmond, Dixiecrat, 90.51
Newton, James Strom Thurmond, Dixiecrat, 92.04
Noxubee, James Strom Thurmond, Dixiecrat, 91.89
Oktibbeha, James Strom Thurmond, Dixiecrat, 89.12
Panola, James Strom Thurmond, Dixiecrat, 89.17
Pearl River, James Strom Thurmond, Dixiecrat, 90.76
Perry, James Strom Thurmond, Dixiecrat, 87.12
Pike, James Strom Thurmond, Dixiecrat, 92.59
Pontotoc, James Strom Thurmond, Dixiecrat, 80.16
Prentiss, James Strom Thurmond, Dixiecrat, 59.34
Quitman, James Strom Thurmond, Dixiecrat, 90.17
Rankin, James Strom Thurmond, Dixiecrat, 97.03
Scott, James Strom Thurmond, Dixiecrat, 92.6
Sharkey, James Strom Thurmond, Dixiecrat, 95.76
Simpson, James Strom Thurmond, Dixiecrat, 91.06
Smith, James Strom Thurmond, Dixiecrat, 85.24
Stone, James Strom Thurmond, Dixiecrat, 93.77
Sunflower, James Strom Thurmond, Dixiecrat, 92.85
Tallahatchie, James Strom Thurmond, Dixiecrat, 86.75
Tate, James Strom Thurmond, Dixiecrat, 84.7
Tippah, James Strom Thurmond, Dixiecrat, 77.04
Tishomingo, James Strom Thurmond, Dixiecrat, 56.95
Tunica, James Strom Thurmond, Dixiecrat, 95.33
Union, James Strom Thurmond, Dixiecrat, 72.3
Walthall, James Strom Thurmond, Dixiecrat, 93.03
Warren, James Strom Thurmond, Dixiecrat, 86.38
Washington, James Strom Thurmond, Dixiecrat, 82.14
Wayne, James Strom Thurmond, Dixiecrat, 89.75
Webster, James Strom Thurmond, Dixiecrat, 76.78
Wilkinson, James Strom Thurmond, Dixiecrat, 92.56
Winston, James Strom Thurmond, Dixiecrat, 86.84
Yalobusha, James Strom Thurmond, Dixiecrat, 88.14
Yazoo, James Strom Thurmond, Dixiecrat, 95.99
