Adams, Thomas Edmund Dewey, Republican, 50.1
Allen, Thomas Edmund Dewey, Republican, 54
Bartholomew, Harry S. Truman, Democratic, 49.71
Benton, Thomas Edmund Dewey, Republican, 57.88
Blackford, Harry S. Truman, Democratic, 54.37
Boone, Thomas Edmund Dewey, Republican, 55.67
Brown, Harry S. Truman, Democratic, 55.5
Carroll, Thomas Edmund Dewey, Republican, 53.99
Cass, Harry S. Truman, Democratic, 52.03
Clark, Harry S. Truman, Democratic, 60.34
Clay, Harry S. Truman, Democratic, 50.1
Clinton, Thomas Edmund Dewey, Republican, 52.02
Crawford, Harry S. Truman, Democratic, 50.8
Daviess, Thomas Edmund Dewey, Republican, 53.89
Dearborn, Harry S. Truman, Democratic, 52.7
Decatur, Thomas Edmund Dewey, Republican, 56.95
De Kalb, Thomas Edmund Dewey, Republican, 54.86
Delaware, Harry S. Truman, Democratic, 50.89
Dubois, Harry S. Truman, Democratic, 60.07
Elkhart, Thomas Edmund Dewey, Republican, 56.68
Fayette, Harry S. Truman, Democratic, 51.83
Floyd, Harry S. Truman, Democratic, 55.4
Fountain, Thomas Edmund Dewey, Republican, 54.76
Franklin, Thomas Edmund Dewey, Republican, 55.13
Fulton, Thomas Edmund Dewey, Republican, 58.7
Gibson, Harry S. Truman, Democratic, 50.85
Grant, Thomas Edmund Dewey, Republican, 50.31
Greene, Harry S. Truman, Democratic, 49.85
Hamilton, Thomas Edmund Dewey, Republican, 62.12
Hancock, Harry S. Truman, Democratic, 50.36
Harrison, Harry S. Truman, Democratic, 51.02
Hendricks, Thomas Edmund Dewey, Republican, 59.23
Henry, Thomas Edmund Dewey, Republican, 54
Howard, Harry S. Truman, Democratic, 53.1
Huntington, Thomas Edmund Dewey, Republican, 52.01
Jackson, Harry S. Truman, Democratic, 53.88
Jasper, Thomas Edmund Dewey, Republican, 65.42
Jay, Thomas Edmund Dewey, Republican, 49.25
Jefferson, Thomas Edmund Dewey, Republican, 53.79
Jennings, Thomas Edmund Dewey, Republican, 52.52
Johnson, Harry S. Truman, Democratic, 49.91
Knox, Harry S. Truman, Democratic, 55
Kosciusko, Thomas Edmund Dewey, Republican, 62.79
Lagrange, Thomas Edmund Dewey, Republican, 63.82
Lake, Harry S. Truman, Democratic, 58.09
La Porte, Thomas Edmund Dewey, Republican, 52.45
Lawrence, Thomas Edmund Dewey, Republican, 58.13
Madison, Harry S. Truman, Democratic, 55.61
Marion, Thomas Edmund Dewey, Republican, 50.78
Marshall, Thomas Edmund Dewey, Republican, 56.97
Martin, Harry S. Truman, Democratic, 54.96
Miami, Thomas Edmund Dewey, Republican, 51.09
Monroe, Thomas Edmund Dewey, Republican, 54.64
Montgomery, Thomas Edmund Dewey, Republican, 58.28
Morgan, Thomas Edmund Dewey, Republican, 55.13
Newton, Thomas Edmund Dewey, Republican, 68.36
Noble, Thomas Edmund Dewey, Republican, 57.33
Ohio, Harry S. Truman, Democratic, 52.96
Orange, Thomas Edmund Dewey, Republican, 57.03
Owen, Thomas Edmund Dewey, Republican, 51.14
Parke, Thomas Edmund Dewey, Republican, 53.33
Perry, Harry S. Truman, Democratic, 54.69
Pike, Thomas Edmund Dewey, Republican, 49.6
Porter, Thomas Edmund Dewey, Republican, 62.21
Posey, Harry S. Truman, Democratic, 54.16
Pulaski, Thomas Edmund Dewey, Republican, 50.72
Putnam, Thomas Edmund Dewey, Republican, 50.91
Randolph, Thomas Edmund Dewey, Republican, 57.96
Ripley, Thomas Edmund Dewey, Republican, 53.34
Rush, Thomas Edmund Dewey, Republican, 57.53
St. Joseph, Harry S. Truman, Democratic, 54.89
Scott, Harry S. Truman, Democratic, 55.51
Shelby, Harry S. Truman, Democratic, 52.48
Spencer, Thomas Edmund Dewey, Republican, 51.52
Starke, Thomas Edmund Dewey, Republican, 50.55
Steuben, Thomas Edmund Dewey, Republican, 67.28
Sullivan, Harry S. Truman, Democratic, 56.82
Switzerland, Harry S. Truman, Democratic, 55.92
Tippecanoe, Thomas Edmund Dewey, Republican, 60.6
Tipton, Thomas Edmund Dewey, Republican, 50.78
Union, Thomas Edmund Dewey, Republican, 63.25
Vanderburgh, Harry S. Truman, Democratic, 53.55
Vermillion, Harry S. Truman, Democratic, 52.15
Vigo, Harry S. Truman, Democratic, 56.86
Wabash, Thomas Edmund Dewey, Republican, 61.53
Warren, Thomas Edmund Dewey, Republican, 63.17
Warrick, Harry S. Truman, Democratic, 50.32
Washington, Harry S. Truman, Democratic, 51.99
Wayne, Thomas Edmund Dewey, Republican, 57.81
Wells, Harry S. Truman, Democratic, 51.97
White, Thomas Edmund Dewey, Republican, 55.72
Whitley, Thomas Edmund Dewey, Republican, 51.88
