Armstrong, Harry S. Truman, Democratic, 85.71
Aurora, Harry S. Truman, Democratic, 54.7
Beadle, Harry S. Truman, Democratic, 54.42
Bennett, Harry S. Truman, Democratic, 61.38
Bon Homme, Thomas Edmund Dewey, Republican, 52.36
Brookings, Thomas Edmund Dewey, Republican, 57.76
Brown, Harry S. Truman, Democratic, 55.93
Brule, Harry S. Truman, Democratic, 60.92
Buffalo, Harry S. Truman, Democratic, 51.62
Butte, Thomas Edmund Dewey, Republican, 61.84
Campbell, Thomas Edmund Dewey, Republican, 78.05
Charles Mix, Harry S. Truman, Democratic, 62.53
Clark, Thomas Edmund Dewey, Republican, 50.59
Clay, Thomas Edmund Dewey, Republican, 51.09
Codington, Harry S. Truman, Democratic, 54.32
Corson, Thomas Edmund Dewey, Republican, 49.63
Custer, Thomas Edmund Dewey, Republican, 56.66
Davison, Harry S. Truman, Democratic, 57.01
Day, Harry S. Truman, Democratic, 55.38
Deuel, Thomas Edmund Dewey, Republican, 49.91
Dewey, Thomas Edmund Dewey, Republican, 53.8
Douglas, Thomas Edmund Dewey, Republican, 63.71
Edmunds, Thomas Edmund Dewey, Republican, 54
Fall River, Thomas Edmund Dewey, Republican, 59.72
Faulk, Thomas Edmund Dewey, Republican, 51.49
Grant, Harry S. Truman, Democratic, 50.54
Gregory, Harry S. Truman, Democratic, 50.34
Haakon, Thomas Edmund Dewey, Republican, 57.92
Hamlin, Thomas Edmund Dewey, Republican, 53.98
Hand, Thomas Edmund Dewey, Republican, 50.47
Hanson, Harry S. Truman, Democratic, 52.13
Harding, Thomas Edmund Dewey, Republican, 50.87
Hughes, Thomas Edmund Dewey, Republican, 61.43
Hutchinson, Thomas Edmund Dewey, Republican, 70.01
Hyde, Thomas Edmund Dewey, Republican, 59.25
Jackson, Thomas Edmund Dewey, Republican, 56.4
Jerauld, Thomas Edmund Dewey, Republican, 54.6
Jones, Thomas Edmund Dewey, Republican, 55.06
Kingsbury, Thomas Edmund Dewey, Republican, 62.55
Lake, Thomas Edmund Dewey, Republican, 56.95
Lawrence, Thomas Edmund Dewey, Republican, 62.5
Lincoln, Thomas Edmund Dewey, Republican, 59.51
Lyman, Thomas Edmund Dewey, Republican, 51.94
Marshall, Harry S. Truman, Democratic, 53.47
McCook, Thomas Edmund Dewey, Republican, 59.46
McPherson, Thomas Edmund Dewey, Republican, 76.24
Meade, Thomas Edmund Dewey, Republican, 54.47
Mellette, Thomas Edmund Dewey, Republican, 49.33
Miner, Harry S. Truman, Democratic, 53.07
Minnehaha, Thomas Edmund Dewey, Republican, 53.77
Moody, Thomas Edmund Dewey, Republican, 50.19
Pennington, Thomas Edmund Dewey, Republican, 56.01
Perkins, Thomas Edmund Dewey, Republican, 55.04
Potter, Thomas Edmund Dewey, Republican, 49.69
Roberts, Harry S. Truman, Democratic, 57.98
Sanborn, Harry S. Truman, Democratic, 50.75
Shannon, Harry S. Truman, Democratic, 55.23
Spink, Harry S. Truman, Democratic, 53.33
Stanley, Thomas Edmund Dewey, Republican, 58.85
Sully, Thomas Edmund Dewey, Republican, 58.37
Todd, Harry S. Truman, Democratic, 55.35
Tripp, Harry S. Truman, Democratic, 50.24
Turner, Thomas Edmund Dewey, Republican, 66.26
Union, Harry S. Truman, Democratic, 50.1
Walworth, Thomas Edmund Dewey, Republican, 50.94
Washabaugh, Harry S. Truman, Democratic, 53.22
Yankton, Harry S. Truman, Democratic, 49.75
Ziebach, Harry S. Truman, Democratic, 51.33
