Harris, Harry S. Truman, Democratic, 66.75
Hart, Harry S. Truman, Democratic, 89.08
Heard, Harry S. Truman, Democratic, 83.75
Henry, Harry S. Truman, Democratic, 75.84
Houston, Harry S. Truman, Democratic, 69.35
Irwin, Harry S. Truman, Democratic, 69.82
Jackson, Harry S. Truman, Democratic, 83.98
Jasper, Harry S. Truman, Democratic, 64.97
Jeff Davis, Harry S. Truman, Democratic, 67.51
Jefferson, James Strom Thurmond, Dixiecrat, 60.08
Jenkins, Harry S. Truman, Democratic, 61.4
Johnson, Harry S. Truman, Democratic, 54.54
Jones, Harry S. Truman, Democratic, 52.78
Lamar, Harry S. Truman, Democratic, 71.63
Lanier, Harry S. Truman, Democratic, 71.47
Laurens, Harry S. Truman, Democratic, 61.12
Lee, James Strom Thurmond, Dixiecrat, 46.15
Liberty, Harry S. Truman, Democratic, 67.66
Lincoln, James Strom Thurmond, Dixiecrat, 81.76
Long, Harry S. Truman, Democratic, 65.69
Lowndes, Harry S. Truman, Democratic, 47.17
Lumpkin, Harry S. Truman, Democratic, 74.02
Macon, Harry S. Truman, Democratic, 57.11
Madison, Harry S. Truman, Democratic, 80.61
Marion, Harry S. Truman, Democratic, 52.31
McDuffie, James Strom Thurmond, Dixiecrat, 84
McIntosh, Harry S. Truman, Democratic, 48.85
Meriwether, Harry S. Truman, Democratic, 81.65
Miller, Harry S. Truman, Democratic, 83.97
Mitchell, Harry S. Truman, Democratic, 70.3
Monroe, Harry S. Truman, Democratic, 62.04
Montgomery, Harry S. Truman, Democratic, 61.9
Morgan, Harry S. Truman, Democratic, 81.58
Murray, Harry S. Truman, Democratic, 68.19
Muscogee, Harry S. Truman, Democratic, 58.02
Newton, Harry S. Truman, Democratic, 84.52
Oconee, Harry S. Truman, Democratic, 61.93
Oglethorpe, Harry S. Truman, Democratic, 73.26
Paulding, Harry S. Truman, Democratic, 67.38
Peach, Harry S. Truman, Democratic, 53.81
Pickens, Thomas Edmund Dewey, Republican, 46.11
Pierce, Harry S. Truman, Democratic, 59.97
Pike, Harry S. Truman, Democratic, 54.24
Polk, Harry S. Truman, Democratic, 78.74
Pulaski, Harry S. Truman, Democratic, 71.41
Putnam, Harry S. Truman, Democratic, 71.31
Quitman, Harry S. Truman, Democratic, 68.14
Rabun, Harry S. Truman, Democratic, 77.09
Randolph, Harry S. Truman, Democratic, 59.28
Richmond, James Strom Thurmond, Dixiecrat, 68.61
Rockdale, Harry S. Truman, Democratic, 81.63
Schley, Harry S. Truman, Democratic, 68.53
Screven, Harry S. Truman, Democratic, 55.39
Seminole, Harry S. Truman, Democratic, 80.31
Spalding, Harry S. Truman, Democratic, 74.38
Stephens, Harry S. Truman, Democratic, 68.93
Stewart, Harry S. Truman, Democratic, 46.94
Sumter, Harry S. Truman, Democratic, 47.48
Talbot, Harry S. Truman, Democratic, 71.67
Taliaferro, Harry S. Truman, Democratic, 84.14
Tattnall, Harry S. Truman, Democratic, 57.46
Taylor, Harry S. Truman, Democratic, 57.95
Telfair, Harry S. Truman, Democratic, 63.18
Terrell, Harry S. Truman, Democratic, 63.93
Thomas, Harry S. Truman, Democratic, 38.97
Tift, Harry S. Truman, Democratic, 68
Toombs, Harry S. Truman, Democratic, 57.59
Towns, Harry S. Truman, Democratic, 62.62
Treutlen, Harry S. Truman, Democratic, 61.37
Troup, Harry S. Truman, Democratic, 75.37
Turner, Harry S. Truman, Democratic, 67.72
Twiggs, James Strom Thurmond, Dixiecrat, 49.2
Union, Harry S. Truman, Democratic, 51.12
Upson, Harry S. Truman, Democratic, 81.26
Walker, Harry S. Truman, Democratic, 69.83
Walton, Harry S. Truman, Democratic, 84.99
Ware, Harry S. Truman, Democratic, 56.15
Warren, James Strom Thurmond, Dixiecrat, 64.5
Washington, Harry S. Truman, Democratic, 84.77
Wayne, Harry S. Truman, Democratic, 72.89
Webster, Harry S. Truman, Democratic, 37.58
Wheeler, Harry S. Truman, Democratic, 63.28
White, Harry S. Truman, Democratic, 78.89
Whitfield, Harry S. Truman, Democratic, 63.42
Wilcox, Harry S. Truman, Democratic, 70.94
Wilkes, Harry S. Truman, Democratic, 63.61
Wilkinson, Harry S. Truman, Democratic, 45.59
Worth, Harry S. Truman, Democratic, 77.06
