Anderson, Harry S. Truman, Democratic, 62.37
Andrews, Harry S. Truman, Democratic, 85.27
Angelina, Harry S. Truman, Democratic, 69.05
Aransas, Harry S. Truman, Democratic, 61.02
Archer, Harry S. Truman, Democratic, 86.2
Armstrong, Harry S. Truman, Democratic, 84.07
Atascosa, Harry S. Truman, Democratic, 69.36
Austin, Thomas Edmund Dewey, Republican, 43.98
Bailey, Harry S. Truman, Democratic, 76.79
Bandera, Thomas Edmund Dewey, Republican, 50.35
Bastrop, Harry S. Truman, Democratic, 77.79
Baylor, Harry S. Truman, Democratic, 90.81
Bee, Harry S. Truman, Democratic, 60.7
Bell, Harry S. Truman, Democratic, 82.83
Bexar, Harry S. Truman, Democratic, 54.27
Blanco, Harry S. Truman, Democratic, 63.93
Borden, Harry S. Truman, Democratic, 87.12
Bosque, Harry S. Truman, Democratic, 77.91
Bowie, Harry S. Truman, Democratic, 67.95
Brazoria, Harry S. Truman, Democratic, 57.19
Brazos, Harry S. Truman, Democratic, 62.55
Brewster, Harry S. Truman, Democratic, 70.1
Briscoe, Harry S. Truman, Democratic, 85.75
Brooks, Harry S. Truman, Democratic, 80.27
Brown, Harry S. Truman, Democratic, 78.06
Burleson, Harry S. Truman, Democratic, 84.26
Burnet, Harry S. Truman, Democratic, 84.12
Caldwell, Harry S. Truman, Democratic, 77.21
Calhoun, Harry S. Truman, Democratic, 57.18
Callahan, Harry S. Truman, Democratic, 83.4
Cameron, Harry S. Truman, Democratic, 57.15
Camp, Harry S. Truman, Democratic, 62.03
Carson, Harry S. Truman, Democratic, 74.17
Cass, Harry S. Truman, Democratic, 65.14
Castro, Harry S. Truman, Democratic, 84.28
Chambers, Harry S. Truman, Democratic, 56.54
Cherokee, Harry S. Truman, Democratic, 64.07
Childress, Harry S. Truman, Democratic, 86.22
Clay, Harry S. Truman, Democratic, 82.5
Cochran, Harry S. Truman, Democratic, 81.87
Coke, Harry S. Truman, Democratic, 90.18
Coleman, Harry S. Truman, Democratic, 78.59
Collin, Harry S. Truman, Democratic, 76.08
Collingsworth, Harry S. Truman, Democratic, 85.16
Colorado, Harry S. Truman, Democratic, 41.71
Comal, Thomas Edmund Dewey, Republican, 56.99
Comanche, Harry S. Truman, Democratic, 83.17
Concho, Harry S. Truman, Democratic, 85.88
Cooke, Harry S. Truman, Democratic, 64.48
Coryell, Harry S. Truman, Democratic, 85.11
Cottle, Harry S. Truman, Democratic, 90.71
Crane, Harry S. Truman, Democratic, 88.17
Crockett, Harry S. Truman, Democratic, 73.39
Crosby, Harry S. Truman, Democratic, 83.66
Culberson, Harry S. Truman, Democratic, 79.74
Dallam, Harry S. Truman, Democratic, 77.41
Dallas, Harry S. Truman, Democratic, 50.31
Dawson, Harry S. Truman, Democratic, 82.94
Deaf Smith, Harry S. Truman, Democratic, 71.61
Delta, Harry S. Truman, Democratic, 83.89
Denton, Harry S. Truman, Democratic, 65.42
De Witt, Harry S. Truman, Democratic, 49.57
Dickens, Harry S. Truman, Democratic, 87.76
Dimmit, Harry S. Truman, Democratic, 65.48
Donley, Harry S. Truman, Democratic, 81.09
Duval, Harry S. Truman, Democratic, 96.52
Eastland, Harry S. Truman, Democratic, 76.83
Ector, Harry S. Truman, Democratic, 75.61
Edwards, Harry S. Truman, Democratic, 61.04
Ellis, Harry S. Truman, Democratic, 75.56
El Paso, Harry S. Truman, Democratic, 71.53
Erath, Harry S. Truman, Democratic, 79.26
Falls, Harry S. Truman, Democratic, 80.25
Fannin, Harry S. Truman, Democratic, 86.79
Fayette, Harry S. Truman, Democratic, 58.63
Fisher, Harry S. Truman, Democratic, 90.28
Floyd, Harry S. Truman, Democratic, 81.94
Foard, Harry S. Truman, Democratic, 85.73
Fort Bend, Harry S. Truman, Democratic, 56.96
Franklin, Harry S. Truman, Democratic, 80.94
Freestone, Harry S. Truman, Democratic, 70.12
Frio, Harry S. Truman, Democratic, 66.96
Gaines, Harry S. Truman, Democratic, 81.66
Galveston, Harry S. Truman, Democratic, 66.47
Garza, Harry S. Truman, Democratic, 77.57
Gillespie, Thomas Edmund Dewey, Republican, 80.31
Glasscock, Harry S. Truman, Democratic, 67.63
Goliad, Harry S. Truman, Democratic, 43.86
Gonzales, Harry S. Truman, Democratic, 72.58
Gray, Harry S. Truman, Democratic, 64.94
Grayson, Harry S. Truman, Democratic, 77.69
Gregg, Harry S. Truman, Democratic, 48.31
Grimes, Harry S. Truman, Democratic, 52.38
Guadalupe, Thomas Edmund Dewey, Republican, 50.98
Hale, Harry S. Truman, Democratic, 75.24
Hall, Harry S. Truman, Democratic, 89.31
Hamilton, Harry S. Truman, Democratic, 73.75
Hansford, Harry S. Truman, Democratic, 79.34
Hardeman, Harry S. Truman, Democratic, 83.7
Hardin, Harry S. Truman, Democratic, 73.38
Harris, Harry S. Truman, Democratic, 47.7
Harrison, Harry S. Truman, Democratic, 44.81
Hartley, Harry S. Truman, Democratic, 84.13
Haskell, Harry S. Truman, Democratic, 91.2
Hays, Harry S. Truman, Democratic, 74.96
Hemphill, Harry S. Truman, Democratic, 78.95
Henderson, Harry S. Truman, Democratic, 83.14
Hidalgo, Harry S. Truman, Democratic, 59.47
Hill, Harry S. Truman, Democratic, 80.85
Hockley, Harry S. Truman, Democratic, 84.58
Hood, Harry S. Truman, Democratic, 84.64
Hopkins, Harry S. Truman, Democratic, 83.24
