Alachua, Harry S. Truman, Democratic, 36.78
Baker, James Strom Thurmond, Dixiecrat, 18.11
Bay, James Strom Thurmond, Dixiecrat, 16.32
Bradford, James Strom Thurmond, Dixiecrat, 27.08
Brevard, Thomas Edmund Dewey, Republican, 41.61
Broward, Harry S. Truman, Democratic, 36.35
Calhoun, James Strom Thurmond, Dixiecrat, 14.38
Charlotte, Harry S. Truman, Democratic, 41.01
Citrus, Thomas Edmund Dewey, Republican, 27.91
Clay, Thomas Edmund Dewey, Republican, 26.33
Collier, James Strom Thurmond, Dixiecrat, 28.52
Columbia, James Strom Thurmond, Dixiecrat, 29.35
Dade, Thomas Edmund Dewey, Republican, 37.04
De Soto, Thomas Edmund Dewey, Republican, 27.33
Dixie, James Strom Thurmond, Dixiecrat, 23.21
Duval, Thomas Edmund Dewey, Republican, 25.76
Escambia, James Strom Thurmond, Dixiecrat, 21.62
Flagler, Thomas Edmund Dewey, Republican, 23.77
Franklin, James Strom Thurmond, Dixiecrat, 27.68
Gadsden, James Strom Thurmond, Dixiecrat, 35.4
Gilchrist, James Strom Thurmond, Dixiecrat, 12.35
Glades, Thomas Edmund Dewey, Republican, 27.03
Gulf, James Strom Thurmond, Dixiecrat, 13.24
Hamilton, James Strom Thurmond, Dixiecrat, 20.91
Hardee, Thomas Edmund Dewey, Republican, 24.12
Hendry, Thomas Edmund Dewey, Republican, 26.21
Hernando, Thomas Edmund Dewey, Republican, 26.38
Highlands, Thomas Edmund Dewey, Republican, 34.53
Hillsborough, Thomas Edmund Dewey, Republican, 32.77
Holmes, James Strom Thurmond, Dixiecrat, 28.22
Indian River, Harry S. Truman, Democratic, 43.1
Jackson, James Strom Thurmond, Dixiecrat, 33.34
Jefferson, James Strom Thurmond, Dixiecrat, 35.3
Lafayette, James Strom Thurmond, Dixiecrat, 10.22
Lake, Harry S. Truman, Democratic, 41.96
Lee, Harry S. Truman, Democratic, 32.48
Leon, James Strom Thurmond, Dixiecrat, 21.91
Levy, James Strom Thurmond, Dixiecrat, 32.72
Liberty, James Strom Thurmond, Dixiecrat, 9.54
Madison, James Strom Thurmond, Dixiecrat, 39.04
Manatee, Harry S. Truman, Democratic, 36.35
Marion, Thomas Edmund Dewey, Republican, 22.43
Martin, Harry S. Truman, Democratic, 38.55
Monroe, Thomas Edmund Dewey, Republican, 12.17
Nassau, James Strom Thurmond, Dixiecrat, 24.72
Okaloosa, James Strom Thurmond, Dixiecrat, 24.76
Okeechobee, Thomas Edmund Dewey, Republican, 17.08
Orange, Harry S. Truman, Democratic, 39.23
Osceola, Thomas Edmund Dewey, Republican, 44.59
Palm Beach, Harry S. Truman, Democratic, 39.01
Pasco, Thomas Edmund Dewey, Republican, 37.68
Pinellas, Harry S. Truman, Democratic, 35.32
Polk, Thomas Edmund Dewey, Republican, 33.6
Putnam, Thomas Edmund Dewey, Republican, 29.68
St. Johns, Harry S. Truman, Democratic, 31.63
St. Lucie, Thomas Edmund Dewey, Republican, 38.04
Santa Rosa, James Strom Thurmond, Dixiecrat, 18.13
Sarasota, Harry S. Truman, Democratic, 32.31
Seminole, Thomas Edmund Dewey, Republican, 33.25
Sumter, James Strom Thurmond, Dixiecrat, 22.58
Suwannee, James Strom Thurmond, Dixiecrat, 18.56
Taylor, James Strom Thurmond, Dixiecrat, 21.11
Union, James Strom Thurmond, Dixiecrat, 25.74
Volusia, Thomas Edmund Dewey, Republican, 39.46
Wakulla, James Strom Thurmond, Dixiecrat, 22.12
Walton, James Strom Thurmond, Dixiecrat, 20.03
Washington, James Strom Thurmond, Dixiecrat, 23.65
