Allen, Thomas Edmund Dewey, Republican, 61.21
Anderson, Thomas Edmund Dewey, Republican, 56.85
Atchison, Thomas Edmund Dewey, Republican, 51.04
Barber, Thomas Edmund Dewey, Republican, 50.92
Barton, Thomas Edmund Dewey, Republican, 53.37
Bourbon, Thomas Edmund Dewey, Republican, 51.43
Brown, Thomas Edmund Dewey, Republican, 67.98
Butler, Thomas Edmund Dewey, Republican, 50.58
Chase, Thomas Edmund Dewey, Republican, 58.93
Chautauqua, Thomas Edmund Dewey, Republican, 59.34
Cherokee, Harry S. Truman, Democratic, 50.23
Cheyenne, Thomas Edmund Dewey, Republican, 53.51
Clark, Thomas Edmund Dewey, Republican, 55.29
Clay, Thomas Edmund Dewey, Republican, 65.89
Cloud, Thomas Edmund Dewey, Republican, 56.16
Coffey, Thomas Edmund Dewey, Republican, 61.2
Comanche, Thomas Edmund Dewey, Republican, 61.9
Cowley, Thomas Edmund Dewey, Republican, 52.13
Crawford, Harry S. Truman, Democratic, 50.55
Decatur, Thomas Edmund Dewey, Republican, 51.41
Dickinson, Thomas Edmund Dewey, Republican, 59.98
Doniphan, Thomas Edmund Dewey, Republican, 63.74
Douglas, Thomas Edmund Dewey, Republican, 64.25
Edwards, Thomas Edmund Dewey, Republican, 58.15
Elk, Thomas Edmund Dewey, Republican, 63.8
Ellis, Harry S. Truman, Democratic, 58.48
Ellsworth, Thomas Edmund Dewey, Republican, 52.83
Finney, Thomas Edmund Dewey, Republican, 50.01
Ford, Harry S. Truman, Democratic, 50.75
Franklin, Thomas Edmund Dewey, Republican, 58.24
Geary, Thomas Edmund Dewey, Republican, 49.72
Gove, Thomas Edmund Dewey, Republican, 57.48
Graham, Thomas Edmund Dewey, Republican, 59.28
Grant, Thomas Edmund Dewey, Republican, 53.34
Gray, Thomas Edmund Dewey, Republican, 53.68
Greeley, Thomas Edmund Dewey, Republican, 53.34
Greenwood, Thomas Edmund Dewey, Republican, 57.31
Hamilton, Thomas Edmund Dewey, Republican, 50.64
Harper, Thomas Edmund Dewey, Republican, 59.25
Harvey, Thomas Edmund Dewey, Republican, 57.72
Haskell, Thomas Edmund Dewey, Republican, 54.66
Hodgeman, Thomas Edmund Dewey, Republican, 60.77
Jackson, Thomas Edmund Dewey, Republican, 61.3
Jefferson, Thomas Edmund Dewey, Republican, 59.04
Jewell, Thomas Edmund Dewey, Republican, 63.18
Johnson, Thomas Edmund Dewey, Republican, 60.7
Kearny, Thomas Edmund Dewey, Republican, 54.43
Kingman, Thomas Edmund Dewey, Republican, 55.88
Kiowa, Thomas Edmund Dewey, Republican, 59.79
Labette, Thomas Edmund Dewey, Republican, 50.12
Lane, Thomas Edmund Dewey, Republican, 57.53
Leavenworth, Harry S. Truman, Democratic, 50.61
Lincoln, Thomas Edmund Dewey, Republican, 65.73
Linn, Thomas Edmund Dewey, Republican, 60.45
Logan, Thomas Edmund Dewey, Republican, 63.73
Lyon, Thomas Edmund Dewey, Republican, 50.03
Marion, Thomas Edmund Dewey, Republican, 64.85
Marshall, Thomas Edmund Dewey, Republican, 61.5
McPherson, Thomas Edmund Dewey, Republican, 57.54
Meade, Thomas Edmund Dewey, Republican, 60.19
Miami, Harry S. Truman, Democratic, 49.54
Mitchell, Thomas Edmund Dewey, Republican, 62.16
Montgomery, Thomas Edmund Dewey, Republican, 54.7
Morris, Thomas Edmund Dewey, Republican, 56.46
Morton, Thomas Edmund Dewey, Republican, 52.61
Nemaha, Thomas Edmund Dewey, Republican, 55.39
Neosho, Thomas Edmund Dewey, Republican, 56.69
Ness, Thomas Edmund Dewey, Republican, 58.1
Norton, Thomas Edmund Dewey, Republican, 60.98
Osage, Thomas Edmund Dewey, Republican, 55.55
Osborne, Thomas Edmund Dewey, Republican, 62.87
Ottawa, Thomas Edmund Dewey, Republican, 59
Pawnee, Thomas Edmund Dewey, Republican, 52.44
Phillips, Thomas Edmund Dewey, Republican, 66.32
Pottawatomie, Thomas Edmund Dewey, Republican, 62.64
Pratt, Thomas Edmund Dewey, Republican, 50.22
Rawlins, Thomas Edmund Dewey, Republican, 55.08
Reno, Thomas Edmund Dewey, Republican, 51.87
Republic, Thomas Edmund Dewey, Republican, 60.42
Rice, Thomas Edmund Dewey, Republican, 58.15
Riley, Thomas Edmund Dewey, Republican, 68.01
Rooks, Thomas Edmund Dewey, Republican, 56.59
Rush, Thomas Edmund Dewey, Republican, 56.41
Russell, Thomas Edmund Dewey, Republican, 56.48
Saline, Thomas Edmund Dewey, Republican, 53.14
Scott, Thomas Edmund Dewey, Republican, 56.86
Sedgwick, Thomas Edmund Dewey, Republican, 49.56
Seward, Thomas Edmund Dewey, Republican, 52
Shawnee, Thomas Edmund Dewey, Republican, 52.83
Sheridan, Thomas Edmund Dewey, Republican, 52.69
Sherman, Thomas Edmund Dewey, Republican, 50
Smith, Thomas Edmund Dewey, Republican, 61.94
Stafford, Thomas Edmund Dewey, Republican, 51.74
Stanton, Thomas Edmund Dewey, Republican, 56.53
Stevens, Thomas Edmund Dewey, Republican, 54.04
Sumner, Thomas Edmund Dewey, Republican, 55.42
Thomas, Thomas Edmund Dewey, Republican, 49.41
