Barnstable, undefined, undefined, 28.7
Berkshire, undefined, undefined, 39.2
Bristol, undefined, undefined, 40.4
Dukes, undefined, undefined, 33.1
Essex, undefined, undefined, 38.4
Franklin, undefined, undefined, 38.9
Hampden, undefined, undefined, 39.7
Hampshire, undefined, undefined, 34.5
Middlesex, undefined, undefined, 39.7
Nantucket, undefined, undefined, 36.4
Norfolk, undefined, undefined, 37.9
Plymouth, undefined, undefined, 33.3
Suffolk, undefined, undefined, 33.1
