Belknap, Ronald Wilson Reagan, Republican, 65.12
Carroll, Ronald Wilson Reagan, Republican, 67.25
Cheshire, Ronald Wilson Reagan, Republican, 52
Coös, Ronald Wilson Reagan, Republican, 60.08
Grafton, Ronald Wilson Reagan, Republican, 56.25
Hillsborough, Ronald Wilson Reagan, Republican, 59.84
Merrimack, Ronald Wilson Reagan, Republican, 56.21
Rockingham, Ronald Wilson Reagan, Republican, 57.83
Strafford, Ronald Wilson Reagan, Republican, 50.41
Sullivan, Ronald Wilson Reagan, Republican, 52.85
