Ada, Ronald Wilson Reagan, Republican, 63.79
Adams, Ronald Wilson Reagan, Republican, 62.68
Bannock, Ronald Wilson Reagan, Republican, 61.88
Bear Lake, Ronald Wilson Reagan, Republican, 82.45
Benewah, Ronald Wilson Reagan, Republican, 54.89
Bingham, Ronald Wilson Reagan, Republican, 76.07
Blaine, Ronald Wilson Reagan, Republican, 49.12
Boise, Ronald Wilson Reagan, Republican, 61.43
Bonner, Ronald Wilson Reagan, Republican, 56.34
Bonneville, Ronald Wilson Reagan, Republican, 77.55
Boundary, Ronald Wilson Reagan, Republican, 59.44
Butte, Ronald Wilson Reagan, Republican, 72.24
Camas, Ronald Wilson Reagan, Republican, 67.92
Canyon, Ronald Wilson Reagan, Republican, 67.68
Caribou, Ronald Wilson Reagan, Republican, 83.09
Cassia, Ronald Wilson Reagan, Republican, 78.84
Clark, Ronald Wilson Reagan, Republican, 78.47
Clearwater, Ronald Wilson Reagan, Republican, 50.49
Custer, Ronald Wilson Reagan, Republican, 73.5
Elmore, Ronald Wilson Reagan, Republican, 64.87
Franklin, Ronald Wilson Reagan, Republican, 85.31
Fremont, Ronald Wilson Reagan, Republican, 79.33
Gem, Ronald Wilson Reagan, Republican, 65.77
Gooding, Ronald Wilson Reagan, Republican, 68.43
Idaho, Ronald Wilson Reagan, Republican, 62.56
Jefferson, Ronald Wilson Reagan, Republican, 84.52
Jerome, Ronald Wilson Reagan, Republican, 74.9
Kootenai, Ronald Wilson Reagan, Republican, 63.25
Latah, Ronald Wilson Reagan, Republican, 46.78
Lemhi, Ronald Wilson Reagan, Republican, 71.53
Lewis, Ronald Wilson Reagan, Republican, 53
Lincoln, Ronald Wilson Reagan, Republican, 69.12
Madison, Ronald Wilson Reagan, Republican, 88.41
Minidoka, Ronald Wilson Reagan, Republican, 74.22
Nez Perce, Ronald Wilson Reagan, Republican, 47.61
Oneida, Ronald Wilson Reagan, Republican, 74.16
Owyhee, Ronald Wilson Reagan, Republican, 71.88
Payette, Ronald Wilson Reagan, Republican, 67.14
Power, Ronald Wilson Reagan, Republican, 71.11
Shoshone, Ronald Wilson Reagan, Republican, 52.04
Teton, Ronald Wilson Reagan, Republican, 72.78
Twin Falls, Ronald Wilson Reagan, Republican, 73.5
Valley, Ronald Wilson Reagan, Republican, 62.38
Washington, Ronald Wilson Reagan, Republican, 63.58
