Androscoggin, James Earl Carter, Democratic, 49.29
Aroostook, Ronald Wilson Reagan, Republican, 48.29
Cumberland, James Earl Carter, Democratic, 44.05
Franklin, Ronald Wilson Reagan, Republican, 46.83
Hancock, Ronald Wilson Reagan, Republican, 53.6
Kennebec, Ronald Wilson Reagan, Republican, 43.84
Knox, Ronald Wilson Reagan, Republican, 48.98
Lincoln, Ronald Wilson Reagan, Republican, 52.14
Oxford, Ronald Wilson Reagan, Republican, 47.04
Penobscot, Ronald Wilson Reagan, Republican, 45.97
Piscataquis, Ronald Wilson Reagan, Republican, 46.93
Sagadahoc, Ronald Wilson Reagan, Republican, 45.23
Somerset, Ronald Wilson Reagan, Republican, 47.59
Waldo, Ronald Wilson Reagan, Republican, 49.57
Washington, Ronald Wilson Reagan, Republican, 48.55
York, Ronald Wilson Reagan, Republican, 46.31
