Alachua, Ronald Wilson Reagan, Republican, 38.56
Baker, Ronald Wilson Reagan, Republican, 45.88
Bay, James Earl Carter, Democratic, 35.85
Bradford, Ronald Wilson Reagan, Republican, 44.5
Brevard, James Earl Carter, Democratic, 33.73
Broward, James Earl Carter, Democratic, 35.64
Calhoun, James Earl Carter, Democratic, 59.22
Charlotte, Margin, Total votes cast, 33.81
Citrus, James Earl Carter, Democratic, 37.5
Clay, Margin, Total votes cast, 33.22
Collier, Margin, Total votes cast, 48.08
Columbia, Ronald Wilson Reagan, Republican, 48.45
Dade, James Earl Carter, Democratic, 40.17
Desoto, James Earl Carter, Democratic, 43.17
Dixie, Ronald Wilson Reagan, Republican, 34.7
Duval, James Earl Carter, Democratic, 46.26
Escambia, James Earl Carter, Democratic, 37.84
Flagler, James Earl Carter, Democratic, 44.7
Franklin, Ronald Wilson Reagan, Republican, 44.59
Gadsden, Ronald Wilson Reagan, Republican, 30.41
Gilchrist, Ronald Wilson Reagan, Republican, 39.13
Glades, Ronald Wilson Reagan, Republican, 45.96
Gulf, Ronald Wilson Reagan, Republican, 43.18
Hamilton, Ronald Wilson Reagan, Republican, 39.66
Hardee, James Earl Carter, Democratic, 48.74
Hendry, James Earl Carter, Democratic, 46.97
Hernando, James Earl Carter, Democratic, 40.21
Highlands, James Earl Carter, Democratic, 34.74
Hillsborough, James Earl Carter, Democratic, 42.99
Holmes, James Earl Carter, Democratic, 45.02
Indian River, Margin, Total votes cast, 31.59
Jackson, Ronald Wilson Reagan, Republican, 44.76
Jefferson, Ronald Wilson Reagan, Republican, 39.19
Lafayette, Ronald Wilson Reagan, Republican, 42.67
Lake, Margin, Total votes cast, 32.92
Lee, Margin, Total votes cast, 34.78
Leon, Ronald Wilson Reagan, Republican, 43.47
Levy, Ronald Wilson Reagan, Republican, 42.26
Liberty, Ronald Wilson Reagan, Republican, 43.81
Madison, Ronald Wilson Reagan, Republican, 41.39
Manatee, Margin, Total votes cast, 28.75
Marion, James Earl Carter, Democratic, 37.94
Martin, Margin, Total votes cast, 41.23
Monroe, James Earl Carter, Democratic, 36.32
Nassau, James Earl Carter, Democratic, 47.2
Okaloosa, Margin, Total votes cast, 42.72
Okeechobee, Ronald Wilson Reagan, Republican, 44.81
Orange, James Earl Carter, Democratic, 34.05
Osceola, James Earl Carter, Democratic, 36.27
Palm Beach, James Earl Carter, Democratic, 36.37
Pasco, James Earl Carter, Democratic, 38.5
Pinellas, James Earl Carter, Democratic, 40.12
Polk, James Earl Carter, Democratic, 40.75
Putnam, Ronald Wilson Reagan, Republican, 46.67
St. Johns, James Earl Carter, Democratic, 36.64
St. Lucie, James Earl Carter, Democratic, 34.69
Santa Rosa, James Earl Carter, Democratic, 32.26
Sarasota, Margin, Total votes cast, 42.76
Seminole, Margin, Total votes cast, 37.3
Sumter, Ronald Wilson Reagan, Republican, 44.41
Suwannee, Ronald Wilson Reagan, Republican, 46.22
Taylor, Ronald Wilson Reagan, Republican, 47.31
Union, Ronald Wilson Reagan, Republican, 46.35
Volusia, James Earl Carter, Democratic, 43.69
Wakulla, Ronald Wilson Reagan, Republican, 47.26
Walton, James Earl Carter, Democratic, 46.7
Washington, James Earl Carter, Democratic, 47.75
