Allen, Ronald Wilson Reagan, Republican, 60.33
Anderson, Ronald Wilson Reagan, Republican, 62.63
Atchison, Ronald Wilson Reagan, Republican, 53.87
Barber, Ronald Wilson Reagan, Republican, 62.53
Barton, Ronald Wilson Reagan, Republican, 66.03
Bourbon, Ronald Wilson Reagan, Republican, 59.22
Brown, Ronald Wilson Reagan, Republican, 67.61
Butler, Ronald Wilson Reagan, Republican, 55.33
Chase, Ronald Wilson Reagan, Republican, 66.94
Chautauqua, Ronald Wilson Reagan, Republican, 71.6
Cherokee, Ronald Wilson Reagan, Republican, 54.81
Cheyenne, Ronald Wilson Reagan, Republican, 73.89
Clark, Ronald Wilson Reagan, Republican, 63.59
Clay, Ronald Wilson Reagan, Republican, 73.9
Cloud, Ronald Wilson Reagan, Republican, 61.56
Coffey, Ronald Wilson Reagan, Republican, 69.16
Comanche, Ronald Wilson Reagan, Republican, 65.45
Cowley, Ronald Wilson Reagan, Republican, 57.14
Crawford, Ronald Wilson Reagan, Republican, 47.81
Decatur, Ronald Wilson Reagan, Republican, 72.98
Dickinson, Ronald Wilson Reagan, Republican, 67.64
Doniphan, Ronald Wilson Reagan, Republican, 67.84
Douglas, Ronald Wilson Reagan, Republican, 49.01
Edwards, Ronald Wilson Reagan, Republican, 63.93
Elk, Ronald Wilson Reagan, Republican, 69.68
Ellis, Ronald Wilson Reagan, Republican, 52.54
Ellsworth, Ronald Wilson Reagan, Republican, 65.9
Finney, Ronald Wilson Reagan, Republican, 58.59
Ford, Ronald Wilson Reagan, Republican, 58.86
Franklin, Ronald Wilson Reagan, Republican, 62.73
Geary, Ronald Wilson Reagan, Republican, 56.06
Gove, Ronald Wilson Reagan, Republican, 71.11
Graham, Ronald Wilson Reagan, Republican, 70.9
Grant, Ronald Wilson Reagan, Republican, 66.01
Gray, Ronald Wilson Reagan, Republican, 63.68
Greeley, Ronald Wilson Reagan, Republican, 63.36
Greenwood, Ronald Wilson Reagan, Republican, 64.62
Hamilton, Ronald Wilson Reagan, Republican, 64.65
Harper, Ronald Wilson Reagan, Republican, 64.18
Harvey, Ronald Wilson Reagan, Republican, 54.56
Haskell, Ronald Wilson Reagan, Republican, 67.65
Hodgeman, Ronald Wilson Reagan, Republican, 66.16
Jackson, Ronald Wilson Reagan, Republican, 63.33
Jefferson, Ronald Wilson Reagan, Republican, 64.6
Jewell, Ronald Wilson Reagan, Republican, 72.8
Johnson, Ronald Wilson Reagan, Republican, 62.95
Kearny, Ronald Wilson Reagan, Republican, 66.38
Kingman, Ronald Wilson Reagan, Republican, 63.63
Kiowa, Ronald Wilson Reagan, Republican, 72.16
Labette, Ronald Wilson Reagan, Republican, 52.86
Lane, Ronald Wilson Reagan, Republican, 67.54
Leavenworth, Ronald Wilson Reagan, Republican, 54.98
Lincoln, Ronald Wilson Reagan, Republican, 72.16
Linn, Ronald Wilson Reagan, Republican, 64.88
Logan, Ronald Wilson Reagan, Republican, 72.89
Lyon, Ronald Wilson Reagan, Republican, 57.94
McPherson, Ronald Wilson Reagan, Republican, 58.83
Marion, Ronald Wilson Reagan, Republican, 64.39
Marshall, Ronald Wilson Reagan, Republican, 67.69
Meade, Ronald Wilson Reagan, Republican, 71.66
Miami, Ronald Wilson Reagan, Republican, 57.1
Mitchell, Ronald Wilson Reagan, Republican, 71.36
Montgomery, Ronald Wilson Reagan, Republican, 64.18
Morris, Ronald Wilson Reagan, Republican, 65.55
Morton, Ronald Wilson Reagan, Republican, 69.61
Nemaha, Ronald Wilson Reagan, Republican, 64.99
Neosho, Ronald Wilson Reagan, Republican, 57.11
Ness, Ronald Wilson Reagan, Republican, 67.49
Norton, Ronald Wilson Reagan, Republican, 75.5
Osage, Ronald Wilson Reagan, Republican, 60.36
Osborne, Ronald Wilson Reagan, Republican, 73.32
Ottawa, Ronald Wilson Reagan, Republican, 71.87
