Adams, Ronald Wilson Reagan, Republican, 68.73
Barnes, Ronald Wilson Reagan, Republican, 59.79
Benson, Ronald Wilson Reagan, Republican, 59.91
Billings, Ronald Wilson Reagan, Republican, 76.05
Bottineau, Ronald Wilson Reagan, Republican, 70.3
Bowman, Ronald Wilson Reagan, Republican, 70.49
Burke, Ronald Wilson Reagan, Republican, 73.27
Burleigh, Ronald Wilson Reagan, Republican, 67.94
Cass, Ronald Wilson Reagan, Republican, 54.76
Cavalier, Ronald Wilson Reagan, Republican, 64.92
Dickey, Ronald Wilson Reagan, Republican, 68.69
Divide, Ronald Wilson Reagan, Republican, 66.06
Dunn, Ronald Wilson Reagan, Republican, 71.5
Eddy, Ronald Wilson Reagan, Republican, 61.23
Emmons, Ronald Wilson Reagan, Republican, 77.57
Foster, Ronald Wilson Reagan, Republican, 66.61
Golden Valley, Ronald Wilson Reagan, Republican, 74.57
Grand Forks, Ronald Wilson Reagan, Republican, 57.65
Grant, Ronald Wilson Reagan, Republican, 80.85
Griggs, Ronald Wilson Reagan, Republican, 61.84
Hettinger, Ronald Wilson Reagan, Republican, 75.28
Kidder, Ronald Wilson Reagan, Republican, 77.05
LaMoure, Ronald Wilson Reagan, Republican, 64.88
Logan, Ronald Wilson Reagan, Republican, 79.03
McHenry, Ronald Wilson Reagan, Republican, 71.2
McIntosh, Ronald Wilson Reagan, Republican, 86.01
McKenzie, Ronald Wilson Reagan, Republican, 67.25
McLean, Ronald Wilson Reagan, Republican, 67.79
Mercer, Ronald Wilson Reagan, Republican, 68
Morton, Ronald Wilson Reagan, Republican, 66.84
Mountrail, Ronald Wilson Reagan, Republican, 60.36
Nelson, Ronald Wilson Reagan, Republican, 62.08
Oliver, Ronald Wilson Reagan, Republican, 73.4
Pembina, Ronald Wilson Reagan, Republican, 65.73
Pierce, Ronald Wilson Reagan, Republican, 76.07
Ramsey, Ronald Wilson Reagan, Republican, 64.88
Ransom, Ronald Wilson Reagan, Republican, 59.93
Renville, Ronald Wilson Reagan, Republican, 62.65
Richland, Ronald Wilson Reagan, Republican, 61.17
Rolette, James Earl Carter, Democratic, 46.55
Sargent, Ronald Wilson Reagan, Republican, 55.44
Sheridan, Ronald Wilson Reagan, Republican, 82.51
Sioux, Ronald Wilson Reagan, Republican, 56.88
Slope, Ronald Wilson Reagan, Republican, 71.41
Stark, Ronald Wilson Reagan, Republican, 70.11
Steele, Ronald Wilson Reagan, Republican, 53.32
Stutsman, Ronald Wilson Reagan, Republican, 63.86
Towner, Ronald Wilson Reagan, Republican, 64.89
Traill, Ronald Wilson Reagan, Republican, 60.91
Walsh, Ronald Wilson Reagan, Republican, 64.69
Ward, Ronald Wilson Reagan, Republican, 67.59
Wells, Ronald Wilson Reagan, Republican, 73.91
Williams, Ronald Wilson Reagan, Republican, 65.93
