Belknap, Herbert Clark Hoover, Republican, 55.04
Carroll, Herbert Clark Hoover, Republican, 64.56
Cheshire, Herbert Clark Hoover, Republican, 57.73
Coös, Franklin Delano Roosevelt, Democratic, 52.14
Grafton, Herbert Clark Hoover, Republican, 55.94
Hillsborough, Franklin Delano Roosevelt, Democratic, 57.79
Merrimack, Herbert Clark Hoover, Republican, 51.98
Rockingham, Herbert Clark Hoover, Republican, 56.44
Strafford, Franklin Delano Roosevelt, Democratic, 52.2
Sullivan, Herbert Clark Hoover, Republican, 53.79
