Androscoggin, Franklin Delano Roosevelt, Democratic, 58.79
Aroostook, Herbert Clark Hoover, Republican, 59.47
Cumberland, Herbert Clark Hoover, Republican, 60.82
Franklin, Herbert Clark Hoover, Republican, 58.46
Hancock, Herbert Clark Hoover, Republican, 64.07
Kennebec, Herbert Clark Hoover, Republican, 53.93
Knox, Herbert Clark Hoover, Republican, 55.28
Lincoln, Herbert Clark Hoover, Republican, 63.84
Oxford, Herbert Clark Hoover, Republican, 52.73
Penobscot, Herbert Clark Hoover, Republican, 58.75
Piscataquis, Herbert Clark Hoover, Republican, 59.14
Sagadahoc, Herbert Clark Hoover, Republican, 59.97
Somerset, Herbert Clark Hoover, Republican, 53.07
Waldo, Herbert Clark Hoover, Republican, 53.21
Washington, Herbert Clark Hoover, Republican, 51.95
York, Herbert Clark Hoover, Republican, 53.53
