<b>Adams</b>, Joe Biden, Democratic, 32.2
<b>Allegheny</b>, Donald Trump, Republican, 39.23
<b>Armstrong</b>, Joe Biden, Democratic, 23.25
<b>Beaver</b>, Joe Biden, Democratic, 40.5
<b>Bedford</b>, Joe Biden, Democratic, 15.84
<b>Berks</b>, Joe Biden, Democratic, 45.2
<b>Blair</b>, Joe Biden, Democratic, 27.73
<b>Bradford</b>, Joe Biden, Democratic, 26.68
<b>Bucks</b>, Donald Trump, Republican, 47.29
<b>Butler</b>, Joe Biden, Democratic, 33.1
<b>Cambria</b>, Joe Biden, Democratic, 30.79
<b>Cameron</b>, Joe Biden, Democratic, 26.05
<b>Carbon</b>, Joe Biden, Democratic, 33.34
<b>Centre</b>, Donald Trump, Republican, 46.94
<b>Chester</b>, Donald Trump, Republican, 40.88
<b>Clarion</b>, Joe Biden, Democratic, 24
<b>Clearfield</b>, Joe Biden, Democratic, 24.54
<b>Clinton</b>, Joe Biden, Democratic, 31.22
<b>Columbia</b>, Joe Biden, Democratic, 33.79
<b>Crawford</b>, Joe Biden, Democratic, 30.77
<b>Cumberland</b>, Joe Biden, Democratic, 43.96
<b>Dauphin</b>, Donald Trump, Republican, 45.06
<b>Delaware</b>, Donald Trump, Republican, 36.15
<b>Elk</b>, Joe Biden, Democratic, 26.75
<b>Erie</b>, Donald Trump, Republican, 48.78
<b>Fayette</b>, Joe Biden, Democratic, 32.9
<b>Forest</b>, Joe Biden, Democratic, 27.51
<b>Franklin</b>, Joe Biden, Democratic, 27.76
<b>Fulton</b>, Joe Biden, Democratic, 13.6
<b>Greene</b>, Joe Biden, Democratic, 27.79
<b>Huntingdon</b>, Joe Biden, Democratic, 23.89
<b>Indiana</b>, Joe Biden, Democratic, 30.67
<b>Jefferson</b>, Joe Biden, Democratic, 19.83
<b>Juniata</b>, Joe Biden, Democratic, 18.71
<b>Lackawanna</b>, Donald Trump, Republican, 45.35
<b>Lancaster</b>, Joe Biden, Democratic, 41.34
<b>Lawrence</b>, Joe Biden, Democratic, 34.68
<b>Lebanon</b>, Joe Biden, Democratic, 33.4
<b>Lehigh</b>, Donald Trump, Republican, 45.62
<b>Luzerne</b>, Joe Biden, Democratic, 42.31
<b>Lycoming</b>, Joe Biden, Democratic, 28.64
<b>McKean</b>, Joe Biden, Democratic, 26.19
<b>Mercer</b>, Joe Biden, Democratic, 36.35
<b>Mifflin</b>, Joe Biden, Democratic, 21.41
<b>Monroe</b>, Donald Trump, Republican, 46.2
<b>Montgomery</b>, Donald Trump, Republican, 36.35
<b>Montour</b>, Joe Biden, Democratic, 38.59
<b>Northampton</b>, Donald Trump, Republican, 49.05
<b>Northumberland</b>, Joe Biden, Democratic, 29.98
<b>Perry</b>, Joe Biden, Democratic, 24.14
<b>Philadelphia</b>, Margin, Total votes, 63.54
<b>Pike</b>, Joe Biden, Democratic, 39.99
<b>Potter</b>, Joe Biden, Democratic, 19.04
<b>Schuylkill</b>, Joe Biden, Democratic, 29.36
<b>Snyder</b>, Joe Biden, Democratic, 25.65
<b>Somerset</b>, Joe Biden, Democratic, 21.35
<b>Sullivan</b>, Joe Biden, Democratic, 25.62
<b>Susquehanna</b>, Joe Biden, Democratic, 28.67
<b>Tioga</b>, Joe Biden, Democratic, 23.51
<b>Union</b>, Joe Biden, Democratic, 37.16
<b>Venango</b>, Joe Biden, Democratic, 28.59
<b>Warren</b>, Joe Biden, Democratic, 29.38
<b>Washington</b>, Joe Biden, Democratic, 38.06
<b>Wayne</b>, Joe Biden, Democratic, 32.72
<b>Westmoreland</b>, Joe Biden, Democratic, 35.24
<b>Wyoming</b>, Joe Biden, Democratic, 31.66
<b>York</b>, Joe Biden, Democratic, 36.95
