Apache, votes, undefined, 33.6
Cochise, undefined, undefined, -1
Coconino, votes, undefined, 23.97
Gila, undefined, undefined, -1
Graham, undefined, undefined, -1
Greenlee, undefined, undefined, -1
La Paz, undefined, undefined, -1
Maricopa, votes, undefined, 2.17
Mohave, undefined, undefined, -1
Navajo, undefined, undefined, -1
Pima, votes, undefined, 18.62
Pinal, undefined, undefined, -1
Santa Cruz, votes, undefined, 35.46
Yavapai, undefined, undefined, -1
Yuma, undefined, undefined, -1
