Barnes, Ronald Reagan, Republican, 62.79
Benson, Ronald Reagan, Republican, 51.41
Billings, Ronald Reagan, Republican, 77.34
Bottineau, Ronald Reagan, Republican, 71.59
Bowman, Ronald Reagan, Republican, 72.55
Burke, Ronald Reagan, Republican, 69.45
Burleigh, Ronald Reagan, Republican, 68.25
Cass, Ronald Reagan, Republican, 61.35
Cavalier, Ronald Reagan, Republican, 69.95
Dickey, Ronald Reagan, Republican, 69.37
Divide, Ronald Reagan, Republican, 63.32
Dunn, Ronald Reagan, Republican, 68.12
Eddy, Ronald Reagan, Republican, 56.4
Emmons, Ronald Reagan, Republican, 73.46
Foster, Ronald Reagan, Republican, 64.23
Golden Valley, Ronald Reagan, Republican, 73.09
Grand Forks, Ronald Reagan, Republican, 60.7
Grant, Ronald Reagan, Republican, 74.92
Griggs, Ronald Reagan, Republican, 59.89
Hettinger, Ronald Reagan, Republican, 74.75
Kidder, Ronald Reagan, Republican, 68.62
LaMoure, Ronald Reagan, Republican, 63.64
Logan, Ronald Reagan, Republican, 72.91
McHenry, Ronald Reagan, Republican, 65.38
McIntosh, Ronald Reagan, Republican, 81.46
McKenzie, Ronald Reagan, Republican, 71.96
McLean, Ronald Reagan, Republican, 62.82
Mercer, Ronald Reagan, Republican, 67.24
Morton, Ronald Reagan, Republican, 62.93
Mountrail, Ronald Reagan, Republican, 55.11
Nelson, Ronald Reagan, Republican, 57.5
Oliver, Ronald Reagan, Republican, 67.43
Pembina, Ronald Reagan, Republican, 65.99
Pierce, Ronald Reagan, Republican, 71.71
Ramsey, Ronald Reagan, Republican, 63.33
Ransom, Ronald Reagan, Republican, 59.38
Renville, Ronald Reagan, Republican, 65.56
Richland, Ronald Reagan, Republican, 65.48
Rolette, Walter Mondale, Democrat, 58.09
Sargent, Ronald Reagan, Republican, 50.83
Sheridan, Ronald Reagan, Republican, 77.01
Sioux, Walter Mondale, Democrat, 58.59
Slope, Ronald Reagan, Republican, 69.26
Stark, Ronald Reagan, Republican, 71.15
Steele, Ronald Reagan, Republican, 54.08
Stutsman, Ronald Reagan, Republican, 64.57
Towner, Ronald Reagan, Republican, 60.15
Traill, Ronald Reagan, Republican, 64.7
Walsh, Ronald Reagan, Republican, 64.84
Ward, Ronald Reagan, Republican, 68.06
Wells, Ronald Reagan, Republican, 69.2
Williams, Ronald Reagan, Republican, 70.87
