Carroll, Ronald Reagan, Republican, 75.43
Cheshire, Ronald Reagan, Republican, 63.55
Coös, Ronald Reagan, Republican, 71.23
Grafton, Ronald Reagan, Republican, 67.59
Hillsborough, Ronald Reagan, Republican, 70.68
Merrimack, Ronald Reagan, Republican, 67.16
Rockingham, Ronald Reagan, Republican, 69.01
Strafford, Ronald Reagan, Republican, 61.31
Sullivan, Ronald Reagan, Republican, 64.75
