Mitchell, Ronald Reagan, Republican, 78.51
Randolph, Ronald Reagan, Republican, 77.36
Yadkin, Ronald Reagan, Republican, 74.37
Davie, Ronald Reagan, Republican, 73.72
Gaston, Ronald Reagan, Republican, 73.36
Wilkes, Ronald Reagan, Republican, 73.03
Catawba, Ronald Reagan, Republican, 72.78
Henderson, Ronald Reagan, Republican, 72.55
Davidson, Ronald Reagan, Republican, 72.55
Cabarrus, Ronald Reagan, Republican, 72.54
Dare, Ronald Reagan, Republican, 71.83
Onslow, Ronald Reagan, Republican, 70.75
Union, Ronald Reagan, Republican, 70.45
Alexander, Ronald Reagan, Republican, 70.22
Rowan, Ronald Reagan, Republican, 70.2
Iredell, Ronald Reagan, Republican, 70.14
Caldwell, Ronald Reagan, Republican, 69.79
Alamance, Ronald Reagan, Republican, 69.74
Stanly, Ronald Reagan, Republican, 67.99
Lincoln, Ronald Reagan, Republican, 67.64
Lee, Ronald Reagan, Republican, 67.47
Moore, Ronald Reagan, Republican, 67.4
Johnston, Ronald Reagan, Republican, 67.32
Nash, Ronald Reagan, Republican, 66.73
Carteret, Ronald Reagan, Republican, 66.28
Stokes, Ronald Reagan, Republican, 65.63
New Hanover, Ronald Reagan, Republican, 65.21
McDowell, Ronald Reagan, Republican, 65.08
Macon, Ronald Reagan, Republican, 64.93
Transylvania, Ronald Reagan, Republican, 64.91
Polk, Ronald Reagan, Republican, 64.73
Surry, Ronald Reagan, Republican, 64.88
Watauga, Ronald Reagan, Republican, 64.27
Burke, Ronald Reagan, Republican, 64.32
Wayne, Ronald Reagan, Republican, 64.13
Craven, Ronald Reagan, Republican, 64.04
Cherokee, Ronald Reagan, Republican, 63.72
Currituck, Ronald Reagan, Republican, 63.24
Mecklenburg, Ronald Reagan, Republican, 62.67
Rockingham, Ronald Reagan, Republican, 62.7
Graham, Ronald Reagan, Republican, 62.63
Clay, Ronald Reagan, Republican, 62.39
Cleveland, Ronald Reagan, Republican, 62.22
Person, Ronald Reagan, Republican, 62.3
Rutherford, Ronald Reagan, Republican, 62.23
Ashe, Ronald Reagan, Republican, 62.1
Buncombe, Ronald Reagan, Republican, 61.61
Wake, Ronald Reagan, Republican, 61.61
Forsyth, Ronald Reagan, Republican, 61.53
Guilford, Ronald Reagan, Republican, 61.25
Harnett, Ronald Reagan, Republican, 61.11
Lenoir, Ronald Reagan, Republican, 60.79
Beaufort, Ronald Reagan, Republican, 60.66
Wilson, Ronald Reagan, Republican, 59.31
Brunswick, Ronald Reagan, Republican, 58.89
Pitt, Ronald Reagan, Republican, 58.36
Cumberland, Ronald Reagan, Republican, 58.18
Perquimans, Ronald Reagan, Republican, 57.28
Montgomery, Ronald Reagan, Republican, 57.07
Alleghany, Ronald Reagan, Republican, 56.08
Jackson, Ronald Reagan, Republican, 55.97
Haywood, Ronald Reagan, Republican, 55.94
Franklin, Ronald Reagan, Republican, 55.57
Chowan, Ronald Reagan, Republican, 55.41
Madison, Ronald Reagan, Republican, 54.81
Granville, Ronald Reagan, Republican, 54.42
Pasquotank, Ronald Reagan, Republican, 54.58
Camden, Ronald Reagan, Republican, 54.25
Hyde, Ronald Reagan, Republican, 54.27
Pamlico, Ronald Reagan, Republican, 54.14
Yancey, Ronald Reagan, Republican, 53.96
Sampson, Ronald Reagan, Republican, 53.87
Pender, Ronald Reagan, Republican, 53.73
Vance, Ronald Reagan, Republican, 53.68
Greene, Ronald Reagan, Republican, 53.47
Chatham, Ronald Reagan, Republican, 53.39
Duplin, Ronald Reagan, Republican, 52.96
Martin, Ronald Reagan, Republican, 52.32
Columbus, Ronald Reagan, Republican, 51.11
Jones, Ronald Reagan, Republican, 50.3
Scotland, Ronald Reagan, Republican, 50.23
Swain, Ronald Reagan, Republican, 50.02
Caswell, Walter Mondale, Democrat, 50.86
Tyrrell, Walter Mondale, Democrat, 50.98
Halifax, Walter Mondale, Democrat, 51.11
Bladen, Walter Mondale, Democrat, 51.78
Edgecombe, Walter Mondale, Democrat, 52.16
Richmond, Walter Mondale, Democrat, 52.3
Durham, Walter Mondale, Democrat, 52.36
Washington, Walter Mondale, Democrat, 53.21
Robeson, Walter Mondale, Democrat, 53.93
Hoke, Walter Mondale, Democrat, 56.61
Gates, Walter Mondale, Democrat, 56.62
Orange, Walter Mondale, Democrat, 56.69
Anson, Walter Mondale, Democrat, 57.25
Bertie, Walter Mondale, Democrat, 57.54
Hertford, Walter Mondale, Democrat, 58.45
Warren, Walter Mondale, Democrat, 59.63
Northampton, Walter Mondale, Democrat, 61.15
