Adams, Ronald Reagan, Republican, 62.83
Allen, Ronald Reagan, Republican, 72.98
Ashland, Ronald Reagan, Republican, 74.4
Ashtabula, Ronald Reagan, Republican, 52.34
Athens, Ronald Reagan, Republican, 52.59
Auglaize, Ronald Reagan, Republican, 77.72
Belmont, Walter Mondale, Democrat, 55.82
Brown, Ronald Reagan, Republican, 66.28
Butler, Ronald Reagan, Republican, 72.92
Carroll, Ronald Reagan, Republican, 63.33
Champaign, Ronald Reagan, Republican, 73.05
Clark, Ronald Reagan, Republican, 62.05
Clermont, Ronald Reagan, Republican, 74.63
Clinton, Ronald Reagan, Republican, 73.77
Columbiana, Ronald Reagan, Republican, 54.43
Coshocton, Ronald Reagan, Republican, 68.71
Crawford, Ronald Reagan, Republican, 74.08
Cuyahoga, Walter Mondale, Democrat, 55.65
Darke, Ronald Reagan, Republican, 72.81
Defiance, Ronald Reagan, Republican, 67.89
Delaware, Ronald Reagan, Republican, 76.23
Erie, Ronald Reagan, Republican, 57.83
Fairfield, Ronald Reagan, Republican, 75.17
Fayette, Ronald Reagan, Republican, 75.8
Franklin, Ronald Reagan, Republican, 64.12
Fulton, Ronald Reagan, Republican, 72.55
Gallia, Ronald Reagan, Republican, 65.27
Geauga, Ronald Reagan, Republican, 68.29
Greene, Ronald Reagan, Republican, 66.27
Guernsey, Ronald Reagan, Republican, 66.81
Hamilton, Ronald Reagan, Republican, 63.34
Hancock, Ronald Reagan, Republican, 78.34
Hardin, Ronald Reagan, Republican, 69.11
Harrison, Ronald Reagan, Republican, 55.45
Henry, Ronald Reagan, Republican, 76.54
Highland, Ronald Reagan, Republican, 69.9
Hocking, Ronald Reagan, Republican, 64.16
Holmes, Ronald Reagan, Republican, 74.11
Huron, Ronald Reagan, Republican, 67.96
Jackson, Ronald Reagan, Republican, 62.24
Jefferson, Walter Mondale, Democrat, 56.69
Knox, Ronald Reagan, Republican, 70.66
Lake, Ronald Reagan, Republican, 59.12
Lawrence, Ronald Reagan, Republican, 55.96
Licking, Ronald Reagan, Republican, 72.26
Logan, Ronald Reagan, Republican, 76.54
Lorain, Ronald Reagan, Republican, 50.77
Lucas, Ronald Reagan, Republican, 50.25
Madison, Ronald Reagan, Republican, 74.91
Mahoning, Walter Mondale, Democrat, 58.21
Marion, Ronald Reagan, Republican, 65.77
Medina, Ronald Reagan, Republican, 65.38
Meigs, Ronald Reagan, Republican, 63.52
Mercer, Ronald Reagan, Republican, 71.49
Miami, Ronald Reagan, Republican, 72.42
Monroe, Walter Mondale, Democrat, 51.75
Montgomery, Ronald Reagan, Republican, 58.97
Morgan, Ronald Reagan, Republican, 67.66
Morrow, Ronald Reagan, Republican, 73.5
Muskingum, Ronald Reagan, Republican, 67.98
Noble, Ronald Reagan, Republican, 67.7
Ottawa, Ronald Reagan, Republican, 60.41
Paulding, Ronald Reagan, Republican, 65.71
Perry, Ronald Reagan, Republican, 65.09
Pickaway, Ronald Reagan, Republican, 73.9
Pike, Ronald Reagan, Republican, 55.9
Portage, Ronald Reagan, Republican, 57.14
Preble, Ronald Reagan, Republican, 71.84
Putnam, Ronald Reagan, Republican, 78.26
Richland, Ronald Reagan, Republican, 68.1
Ross, Ronald Reagan, Republican, 66.6
Sandusky, Ronald Reagan, Republican, 66.16
Scioto, Ronald Reagan, Republican, 56.65
Seneca, Ronald Reagan, Republican, 67.04
Shelby, Ronald Reagan, Republican, 75.12
Stark, Ronald Reagan, Republican, 59.69
Summit, Ronald Reagan, Republican, 50.99
Trumbull, Walter Mondale, Democrat, 55.11
Tuscarawas, Ronald Reagan, Republican, 59.13
Union, Ronald Reagan, Republican, 77.79
Van Wert, Ronald Reagan, Republican, 73.68
Vinton, Ronald Reagan, Republican, 59.8
Warren, Ronald Reagan, Republican, 76.4
Washington, Ronald Reagan, Republican, 66.13
Wayne, Ronald Reagan, Republican, 67.79
Williams, Ronald Reagan, Republican, 74.11
Wood, Ronald Reagan, Republican, 64.74
Wyandot, Ronald Reagan, Republican, 74.81
