Abbeville, Ronald Reagan, Republican, 55.24
Aiken, Ronald Reagan, Republican, 71.6
Allendale, Walter Mondale, Democrat, 57.57
Anderson, Ronald Reagan, Republican, 69.54
Bamberg, Ronald Reagan, Republican, 49.87
Barnwell, Ronald Reagan, Republican, 60.45
Beaufort, Ronald Reagan, Republican, 64.72
Berkeley, Ronald Reagan, Republican, 69.24
Calhoun, Ronald Reagan, Republican, 53.83
Charleston, Ronald Reagan, Republican, 63.83
Cherokee, Ronald Reagan, Republican, 67.57
Chester, Ronald Reagan, Republican, 55.2
Chesterfield, Ronald Reagan, Republican, 54.15
Clarendon, Walter Mondale, Democrat, 52.03
Colleton, Ronald Reagan, Republican, 55.63
Darlington, Ronald Reagan, Republican, 58.7
Dillon, Ronald Reagan, Republican, 57.71
Dorchester, Ronald Reagan, Republican, 68.26
Edgefield, Walter Mondale, Democrat, 49.81
Fairfield, Walter Mondale, Democrat, 56.5
Florence, Ronald Reagan, Republican, 60.51
Georgetown, Ronald Reagan, Republican, 53.29
Greenville, Ronald Reagan, Republican, 73.07
Greenwood, Ronald Reagan, Republican, 62.91
Hampton, Walter Mondale, Democrat, 51.69
Horry, Ronald Reagan, Republican, 69.23
Jasper, Walter Mondale, Democrat, 54.56
Kershaw, Ronald Reagan, Republican, 66.7
Lancaster, Ronald Reagan, Republican, 63.92
Laurens, Ronald Reagan, Republican, 64.49
Lee, Walter Mondale, Democrat, 52.16
Lexington, Ronald Reagan, Republican, 80.95
McCormick, Walter Mondale, Democrat, 55.98
Marion, Walter Mondale, Democrat, 51.6
Marlboro, Walter Mondale, Democrat, 51.84
Newberry, Ronald Reagan, Republican, 65.19
Oconee, Ronald Reagan, Republican, 71.61
Orangeburg, Walter Mondale, Democrat, 51.02
Pickens, Ronald Reagan, Republican, 76.68
Richland, Ronald Reagan, Republican, 57.44
Saluda, Ronald Reagan, Republican, 63.9
Spartanburg, Ronald Reagan, Republican, 66.41
Sumter, Ronald Reagan, Republican, 57.14
Union, Ronald Reagan, Republican, 58.64
Williamsburg, Walter Mondale, Democrat, 53.69
York, Ronald Reagan, Republican, 67.99
